id;nombre;descripcion;observaciones;plataforma;fecha_fin;fecha_inicio;estado
1;mobile Fish;Home Loan Account Table Computer;Trace;Savings Account alarm;2023-03-18T19:47:42;2023-03-18T18:56:07;transmitter Implementation Electronics
2;Soap methodology Albania;Home Namibia;Steel zero administration;Multi-channelled Licensed;2023-03-18T05:26:53;2023-03-18T15:29:49;Cambridgeshire Mississippi
3;HDD;Table Small Frozen Sausages Planner;envisioneer Music Public-key;infomediaries;2023-03-18T17:21:37;2023-03-18T05:38:58;backing up Salad
4;Digitized invoice;convergence;Mayotte;Industrial;2023-03-18T00:04:28;2023-03-18T01:41:10;Markets Chief
5;capacitor archive;sky blue Tasty Plastic Pizza;compress South Georgia and the South Sandwich Islands;compelling mission-critical;2023-03-18T07:15:53;2023-03-18T13:39:55;scalable
6;Small;deliverables reinvent 24 hour;overriding;monitor 1080p Checking Account;2023-03-17T22:03:29;2023-03-18T11:41:10;Frozen IB
7;Highway Ergonomic;moratorium moratorium;New York tangible Mississippi;Frozen bus;2023-03-18T02:01:50;2023-03-18T02:58:04;Robust Networked
8;Poland;Small partnerships;Outdoors;Harbor Montana;2023-03-18T03:35:49;2023-03-17T22:30:28;Phased
9;Saint Lucia white;Generic neutral Salad;Auto Loan Account modular Refined;digital maroon;2023-03-17T22:52:05;2023-03-17T23:05:26;projection Fresh
10;support Gorgeous;withdrawal;copying;ability Hat Iraq;2023-03-18T08:39:12;2023-03-18T14:57:31;Concrete 24/7 Directives
